codice_provincia,sigla_provincia,nome_provincia,grado,materia,anno,livello_1,livello_2,livello_3,livello_4,livello_5,perc_copertura_stu_x,punteggio_medio_wle,deviazione_standard_wle,perc_copertura_stu_y,minore_95,95_110,maggiore_110
4,CN,CUNEO,13,Matematica,2018-19,8.87133182844244,15.3047404063205,20.2483069977427,21.489841986456,34.0632054176072,97.9438425823568,217.3,37.692008626423,97.9438425823568,24.2,20.2,55.6
4,CN,CUNEO,8,Inglese R,2018-19,1.88182160331201,13.6620248400452,84.4561535566428,0.0,0.0,97.3260073260073,209.6,33.7832657926446,97.3973607038123,15.5,84.5,0.0
4,CN,CUNEO,13,Inglese R,2018-19,4.77055883689232,33.3711949114039,61.8582462517038,0.0,0.0,97.9528259902092,209.3,36.0836164209324,97.9746271978633,38.1,61.9,0.0
4,CN,CUNEO,8,Inglese L,2018-19,1.09454614078128,29.3262879788639,69.4281939988677,0.0,0.0,97.051282051282,208.1,31.453923936836,97.1224340175953,30.4,69.4,0.0
4,CN,CUNEO,13,Inglese L,2018-19,13.5485337576722,44.169129347579,42.2823368947488,0.0,0.0,97.8860703159769,210.1,35.9270945689012,97.9078566659248,57.7,42.3,0.0
4,CN,CUNEO,8,Italiano,2020-21,11.2105062809288,22.7255424438523,31.1762466692044,22.7826417967263,12.0669965740388,96.3859842230783,201.1,36.291631741281,96.3859842230783,33.9,31.2,34.8
4,CN,CUNEO,13,Italiano,2020-21,14.921681780709,24.6771090959055,29.0464413300357,21.297059631767,10.0027480076944,95.4116413214473,196.1,38.8950528265701,95.4116413214473,39.6,29.0,31.3
4,CN,CUNEO,8,Matematica,2020-21,13.7142857142857,21.6761904761905,26.8571428571429,20.4,17.3333333333333,96.3126031920748,202.5,38.7906914513061,96.3126031920748,35.4,26.9,37.7
4,CN,CUNEO,13,Matematica,2020-21,18.7150837988827,21.0055865921788,22.2067039106145,18.1843575418994,19.804469273743,95.3141640042599,200.7,37.4638811755207,95.3141640042599,39.7,22.2,38.0
4,CN,CUNEO,8,Inglese R,2020-21,2.26839496759436,15.1353412123523,82.5581395348837,0.0,0.0,96.2392221610714,209.7,36.2957438187713,96.2392221610714,17.4,82.6,0.0
4,CN,CUNEO,13,Inglese R,2020-21,9.375,37.4720982142857,53.1529017857143,0.0,0.0,95.4206602768903,202.2,39.3588465902351,95.4206602768903,46.8,53.2,0.0
4,CN,CUNEO,8,Inglese L,2020-21,1.62120923135609,29.1817661644097,69.1207324051116,0.0,0.0,96.1841863878188,209.9,34.9732209590675,96.1841863878188,30.8,69.1,0.0
4,CN,CUNEO,13,Inglese L,2020-21,16.3504464285714,39.0066964285714,44.6428571428571,0.0,0.0,95.4206602768903,210.5,38.3345397148802,95.4206602768903,55.4,44.6,0.0
4,CN,CUNEO,8,Italiano,2021-22,10.6320250598858,22.1116639027087,29.8507462686567,24.4518149990787,12.9537497696702,95.9342407636556,202.4,36.3771450022473,95.9342407636556,32.7,29.9,37.4
4,CN,CUNEO,10,Italiano,2021-22,10.2138804015714,20.8206023570493,30.2051505892623,26.9751200349192,11.7852466171977,93.9319393193932,202.7,37.8262170151057,93.9319393193932,31.0,30.2,38.8
4,CN,CUNEO,13,Italiano,2021-22,13.6154553817847,22.8610855565777,30.5657773689052,22.6310947562098,10.3265869365225,97.4887892376682,197.6,38.5598262000711,97.4887892376682,36.5,30.6,33.0
4,CN,CUNEO,8,Matematica,2021-22,13.1108242670109,20.173335791997,27.3464871842154,20.2655356813572,19.1038170754195,95.8635319073714,204.1,39.0963914910879,95.8635319073714,33.3,27.3,39.4
4,CN,CUNEO,10,Matematica,2021-22,10.2009611183923,23.7439930100481,27.1952817824377,19.6592398427261,19.2005242463958,93.849938499385,205.7,35.1823707111566,93.849938499385,33.9,27.2,38.9
4,CN,CUNEO,13,Matematica,2021-22,12.2637159981558,19.3637621023513,24.9423697556478,19.2715537113877,24.1585984324574,97.2645739910314,207.4,36.6152340153236,97.2645739910314,31.6,24.9,43.4
